title,type,duration,genre,synopsis,note,episode_nb,season_nb,date,actors,original_language,original_country
L'attaque des titans,TV Series,"24,m","Animation,Action,Adventure","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.0,86,,"April 7, 2013 (France)","Yûki Kaji,Marina Inoue,Josh Grelle,Yui Ishikawa,Bryce Papenbrook,Trina Nishimura,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Hiroshi Kamiya,Yû Kobayashi,Matthew Mercer,Jessica Calvello,Daisuke Ono,Yoshimasa Hosoya,Ashly Burch",Japanese,Japan
Cowboy Bebop,TV Series,"24,m","Animation,Action,Adventure",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,8.9,26,1 Season,"October 4, 2000 (France)","Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji","English,Japanese",Japan
True Detective,TV Series,"55,m","Crime,Drama,Mystery","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",8.9,24,,"January 13, 2014 (France)","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",English,United States
Le décalogue,TV Mini Series,"9,h, ,32,m",Drama,"Ten television drama films, each one based on one of the Ten Commandments.",9.0,10,1 Season,"December 10, 1989 (Poland)","Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony",Polish,"Poland,West Germany"
Death Note,TV Series,"24,m","Animation,Crime,Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,9.0,37,1 Season,"February 2, 2008 (France)","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",Japanese,Japan
The Civil War,TV Mini Series,"11,h, ,20,m","Documentary,History,War",A comprehensive survey of the American Civil War.,9.0,9,1 Season,"September 23, 1990 (United States)","David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",English,United States
Terres de glace,TV Mini Series,"5,h, ,33,m",Documentary,Focuses on life and the environment in both the Arctic and Antarctic.,9.0,10,1 Season,"October 26, 2011 (United Kingdom)","David Attenborough,Alec Baldwin,Chadden Hunter,Ted Giffords,Doug Anderson,Gavin Thurston,Mark Linfield,Vanessa Berlowitz,Michael Kelem,Doug Allan,Niobe Thompson,Jeff Wilson,Jamie McPherson,Mark Smith,Miles Barton,Dan Rees,Jeff Turner,Didier Noirot","English,Russian","United Kingdom,United States,Spain,Germany,Greece,Canada"
Sahsiyet,TV Mini Series,"1,h, ,5,m","Crime,Drama,Mystery",A man diagnosed with Alzheimer's decides to punish criminals.,9.1,12,1 Season,"March 17, 2018 (Turkey)","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun",Turkish,Turkey
Firefly,TV Series,"44,m","Adventure,Drama,Sci-Fi","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag..., ",9.0,14,1 Season,"March 31, 2005 (France)","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles","English,Mandarin",United States
Clarkson à la ferme,TV Series,"45,m","Documentary,Reality-TV",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,9.1,9,,"June 10, 2021 (France)","Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Dave Clay",English,United Kingdom
