title,type,duration,genre,synopsis,note,episode_nb,season_nb,date,actors,original_language,original_country
Planet Earth II,TV Mini Series,"4,h, ,58,m",Documentary,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,9.5,6,1 Season,"November 6, 2016 (United Kingdom)","David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","English,French","United Kingdom,Germany,France,China,United States"
Invincible,TV Series,"50,m","Animation,Action,Adventure",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,8.7,13,,"March 26, 2021 (France)","Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Chris Diamantopoulos,Melise,Mark Hamill,Ross Marquand,Clancy Brown,Fred Tatasciore",English,United States
Oz,TV Series,"55,m","Crime,Drama,Thriller",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,8.7,56,,"December 9, 1998 (France)","Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",English,United States
Moi Claude empereur,TV Mini Series,"11,h, ,9,m","Biography,Drama,History",The history of the Roman Empire as experienced by one of its rulers.,8.8,13,1 Season,"June 7, 1978 (France)","Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley","English,German",United Kingdom
Dragon Ball Z,TV Series,"24,m","Animation,Action,Adventure","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",8.7,277,,"September 13, 1996 (United States)","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Jillian Michaels,Kyle Hebert,Michael Dobson,Kirby Morrow,Ted Cole,Cynthia Cranz","Japanese,English","Japan,United States,Canada"
Rome,TV Series,"52,m","Action,Drama,History",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,8.7,22,,"June 29, 2006 (France)","Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",English,"United Kingdom,United States"
Larry et son nombril,TV Series,"28,m",Comedy,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,8.7,110,,"October 14, 2003 (France)","Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus",English,United States
Dragon Ball Z,TV Series,"24,m","Animation,Action,Adventure","The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught o..., ",8.7,291,1 Season,"December 24, 1990 (France)","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",Japanese,
One Punch Man,TV Series,"24,m","Animation,Action,Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",8.8,25,,"January 2, 2017 (France)","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma","Japanese,English",Japan
Vinland Saga,TV Series,"24,m","Animation,Action,Adventure",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,8.8,24,1 Season,"July 7, 2019 (France)","Keith Silverstein,Zach Aguilar,Ben Diskin,Ray Chase,Kira Buckland,Patrick Seitz,Allegra Clark,J. Michael Tatum,Abby Trott,Ryan Bartley,Debi Derryberry,Aleks Le,Sean Chiplock,D.C. Douglas,Daman Mills,Kellen Goff,Kyle McCarley,Billy Kametz",Japanese,Japan
Steins;Gate,TV Series,"24,m","Animation,Comedy,Drama","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",8.8,26,1 Season,"March 31, 2017 (France)","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto","Japanese,English",Japan
Dark,TV Series,"1,h","Crime,Drama,Mystery","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",8.8,26,,"December 1, 2017 (France)","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Christian Hutcherson,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Tamar Pelzig",German,"Germany,United States"
Peaky Blinders,TV Series,"1,h","Crime,Drama","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,36,,"March 12, 2015 (France)","Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,Ned Dennehy,Finn Cole,Ian Peck,Natasha O'Keeffe,Harry Kirton,Joe Cole,Packy Lee,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Jordan Bolger,Sam Neill,Tom Hardy","English,Romanian,Irish Gaelic,Italian,Yiddish",United Kingdom
The Mandalorian,TV Series,"40,m","Action,Adventure,Sci-Fi","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.8,24,,"April 7, 2020 (France)","Pedro Pascal,Carl Weathers,Barry Lowin,Gina Carano,Giancarlo Esposito,Chris Bartlett,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Nick Nolte,Werner Herzog,Taika Waititi,Emily Swallow,Gabriel Ebert",English,United States
Special OPS,TV Series,"49,m","Action,Crime,Thriller","The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in ..., ",8.7,8,1 Season,"March 17, 2020 (India)","Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,Anuj Sharma,Vinay Pathak,Meher Vij,Sajjad Delafrooz,Saiyami Kher,Rajat Kaul,Parmeet Sethi,Vipul Gupta,Sana Khaan,Kali Prasad Mukherjee,Karan Ashar,Divya Dutta,Revathi Pillai,Pakkhi Guptaa",Hindi,India
Goblin,TV Series,"2,h","Comedy,Drama,Fantasy","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",8.6,16,1 Season,"September 7, 2020 (France)","Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,Sung-Jae Yook,Lee El,Woo-jin Jo,Sung Kyum Kim,Byeong-cheol Kim,Kim So-Hyun,Min-Jae Kim,Yeom Hye-ran,Woong Choi,Kyung-hye Park,Choi Ri,Yeong-gi Jeong,Ko Bo-Gyeol,Anastasia Kim",Korean,South Korea
Avrupa Yakasi,TV Series,,,,8.5,190,,"February 11, 2004 (Turkey)","Yakup Tekin,Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Yildirim Öcek,Veysel Diker,Gazanfer Özcan,Hümeyra,Yavuz Seçkin,Engin Günaydin,Hasibe Eren,Sarp Apak,Rutkay Aziz,Vural Çelik,Celal Belgil,Sensel Uykal,Ececan Gümeci",Turkish,Turkey
BoJack Horseman,TV Series,"25,m","Animation,Comedy,Drama","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful..., ",8.7,77,,"August 22, 2018 (France)","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",English,United States
Garth Marenghi's Darkplace,TV Mini Series,"30,m",,,8.5,6,1 Season,"January 29, 2004 (United Kingdom)","Richard Ayoade,Matt Berry,Matthew Holness,Alice Lowe,Kim Noble,Julian Barratt,Matt Green,Sarah Kants,Graham Linehan,Stephen Merchant,Spencer Brown,Noel Fielding,Paul King,Lydia Fox,Bronwen Davies,Lawrence Michelowski,Kevin Hudson,Nicholas Ivanov",English,United Kingdom
Scènes de la vie conjugale,TV Mini Series,"4,h, ,43,m",,,8.4,6,1 Season,"April 11, 1973 (Sweden)","Liv Ullmann,Erland Josephson,Bibi Andersson,Gunnel Lindblom,Jan Malmsjö,Wenche Foss,Anita Wall,Bertil Norström,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs",Swedish,Sweden
Vikings,TV Series,"44,m","Action,Adventure,Drama","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.5,93,,"June 10, 2013 (France)","Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,Alex Høgh Andersen,Jordan Patrick Smith,Marco Ilsø,Peter Franzén,Travis Fimmel,Clive Standen,John Kavanagh,Jennie Jacques,Maude Hirst,Moe Dunford,Alyssa Sutherland,Linus Roache,George Blagden,Adam Copeland","English,Old English,Norse, Old,Latin,French,Arabic,Greek, Ancient (to 1453),Russian","Ireland,Canada"
Wentworth,TV Series,"45,m","Crime,Drama",Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,8.6,100,,"May 1, 2013 (Australia)","Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacqueline Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lauri McLennan,Lucia Brancatisano,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",English,Australia
À la Maison Blanche,TV Series,"44,m",Drama,Inside the lives of staffers in the West Wing of the White House.,8.8,155,,"July 6, 2001 (France)","Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",English,United States
X-Men,TV Series,"23,m","Animation,Action,Family",A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,8.4,76,,"October 31, 1992 (United States)","Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,Lawrence Bayne,David Hemblen,John Colicos,Ron Rubin,Don Francks,Stephen Ouimette,Marc Strange,Philip Akin,Lally Cadeau",English,"United States,Canada"
Luther,TV Series,"1,h","Crime,Drama,Mystery",DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,8.4,21,,"April 23, 2012 (France)","Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,Ruth Wilson,Paul McGann,Nikki Amuka-Bird,Steven Mackintosh,Saskia Reeves,Indira Varma,Patrick Malahide,Sienna Guillory,Aimee-Ffion Edwards,David O'Hara,Kierston Wareing,Michael Obiora,Anton Valensi,Enzo Cilenti",English,United Kingdom
Kôkaku kidôtai: Stand Alone Complex,TV Series,"24,m","Animation,Action,Crime",The futuristic adventures of a female cyborg counter intelligence agent and her support team.,8.5,52,,"October 1, 2002 (Japan)","Shirô Saitô,Mary Elizabeth McGlynn,William Frederick Knight,Richard Epcar,Crispin Freeman,Peggy O'Neal,Dino Andrade,Kevin Brief,Loy Edge,Barbara Goodson,Kate Higgins,Patricia Ja Lee,Michael McConnohie,Liam O'Brien,Douglas Rye,Barry Stigler,Doug Stone,Julie Ann Taylor",Japanese,Japan
Jésus de Nazareth,TV Mini Series,"6,h, ,22,m","Biography,Drama,History","Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels.",8.5,4,1 Season,"March 27, 1977 (Italy)","Robert Powell,Olivia Hussey,Laurence Olivier,James Mason,Anne Bancroft,Ernest Borgnine,Claudia Cardinale,Valentina Cortese,James Farentino,James Earl Jones,Stacy Keach,Tony Lo Bianco,Ian McShane,Donald Pleasence,Christopher Plummer,Anthony Quinn,Fernando Rey,Ralph Richardson","English,Syriac","Italy,United Kingdom"
Flames,TV Series,"20,m","Comedy,Drama,Romance",A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,9.1,10,,"January 5, 2018 (India)","Ritvik Sahore,Tanya Maniktala,Sunakshi Grover,Shivam Kakar,Deepesh Sumitra Jagdish,Farabi Md Refat,Kunal Aneja,Sachin Kathuria,Neelu Dogra,Sachin Vidrohi,Purnendu Bhattacharya,Anushka Sharma,Raj Sharma,Sahil Verma,Ujjawal Aggarwal,Simar Singh Oberoi,Lalit Shokeen,Manan Madaan",Hindi,India
Feud,TV Mini Series,"6,h, ,46,m","Biography,Drama","Planned anthology series centering on famous feuds, including Bette Davis and Joan Crawford that is discontinued at the moment.",8.5,8,1 Season,"June 14, 2017 (France)","Susan Sarandon,Jessica Lange,Judy Davis,Jackie Hoffman,Alfred Molina,Stanley Tucci,Alison Wright,Catherine Zeta-Jones,Dominic Burgess,Joel Kelley Dauten,Kathy Bates,Kiernan Shipka,Molly Price,Brooke Star,Chelsea Summer,Matthew Glave,Reed Diamond,John Rubinstein",English,United States
The Venture Bros.,TV Series,"22,m","Animation,Action,Adventure","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",8.5,86,,"February 16, 2003 (United States)","Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman",English,United States
Le prisonnier,TV Series,"50,m","Drama,Mystery,Sci-Fi","After resigning, a secret agent is abducted and taken to what looks like an idyllic village, but is really a bizarre prison. His warders demand information. He gives them nothing, but only t..., ",8.5,17,1 Season,"February 18, 1968 (France)","Patrick McGoohan,Angelo Muscat,Peter Swanwick,Peter Brace,Leo McKern,Christopher Benjamin,Michael Miller,Alexis Kanner,Bill Cummings,Frank Maher,Patrick Cargill,Colin Gordon,Kenneth Griffith,Georgina Cookson,Harold Berens,John Cazabon,Bee Duffell,John Maxim","Russian,German,Romany,Spanish,French,Polish",
Futurama,TV Series,"22,m","Animation,Comedy,Sci-Fi","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",8.4,140,,"March 11, 2000 (France)","Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",English,United States
Horace and Pete,TV Mini Series,"1,h, ,7,m",,,8.5,10,1 Season,"January 30, 2016 (United States)","Louis C.K.,Steve Buscemi,Edie Falco,Steven Wright,Kurt Metzger,Alan Alda,Jessica Lange,Liza Treyger,Aidy Bryant,Nick Di Paolo,Maria Dizzia,Tom Noonan,Dov Davidoff,Craig muMs Grant,Reg E. Cathey,Greer Barnes,Karen Pittman,Mark Normand",English,United States
"Unsere Mütter, unsere Väter",TV Mini Series,"4,h, ,30,m","Action,Drama,History",Five friends go out to war and promise each other to be back for Christmas.,8.5,3,1 Season,"March 1, 2013 (Germany)","Volker Bruch,Tom Schilling,Katharina Schüttler,Miriam Stein,Ludwig Trepte,Mark Waschke,Henriette Richter-Röhl,Götz Schubert,Hildegard Schroedter,Christiane Paul,Sylvester Groth,Alina Levshin,Lucas Gregorowicz,Maxim Mehmet,Adam Markiewicz,Johanna Gastdorf,Peter Kremer,Trystan Pütter",German,Germany
Batman,TV Series,"30,m",,,8.5,24,,"September 13, 1997 (United States)","Kevin Conroy,Tara Strong,Mathew Valencia,Efrem Zimbalist Jr.,Loren Lester,Robert Costanzo,Bob Hastings,Arleen Sorkin,Jeff Bennett,Mark Hamill,Paul Williams,Diane Pershing,Mel Winkler,Charles Rocket,Adrienne Barbeau,Richard Moll,Suzanne Stone,Brooks Gardner",English,United States
Delhi Crime,TV Series,"50,m","Crime,Drama","Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",8.5,8,1 Season,"March 22, 2019 (France)","Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,Jaya Bhattacharya,Yashaswini Dayama,Vinod Sharawat,Adil Hussain,Denzil Smith,Gopal Datt,Sidharth Bhardwaj,Swati Bhatia,Mridul Sharma,Abhilasha Singh,Sanjay Bishnoi,Shobhna Bharadwaj,Gaurav Rana,Amitabh Acharya","English,Hindi",India
The Punisher,TV Series,"53,m","Action,Crime,Drama","After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",8.5,26,,"November 17, 2017 (France)","Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,Ebon Moss-Bachrach,Floriana Lima,Josh Stewart,Giorgia Whigham,Jaime Ray Newman,Kobi Frumer,Paul Schulze,Michael Nathanson,Royce Johnson,Tony Plana,Ripley Sobo,Daniel Webber,Kelli Barrett,Samuel María Gómez",English,United States
Inside No. 9,TV Series,"30,m","Comedy,Drama,Horror","Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with th..., ",8.5,39,,"October 1, 2020 (France)","Reece Shearsmith,Steve Pemberton,Derek Jacobi,Katherine Parkinson,Aimee-Ffion Edwards,Rosie Cavaliero,Denis Lawson,Sheridan Smith,Christopher Whitlow,Alexandra Roach,Peter Kay,Nicola Walker,Monica Dolan,Weruche Opia,Jaygann Ayeh,Jenna Coleman,David Morrissey,Phil Davis",English,United Kingdom
Community,TV Series,"22,m",Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,8.5,110,,"December 13, 2012 (France)","Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",English,United States
Dr. Horrible's Sing-Along Blog,TV Mini Series,"42,m","Short,Comedy,Musical",An aspiring supervillain must balance his career and his pursuit of a beautiful do-gooder.,8.5,3,1 Season,"July 15, 2008 (United States)","Neil Patrick Harris,Nathan Fillion,Felicia Day,Simon Helberg,Nick Towne,Jed Whedon,Rob Reinis,Otto Michael Penzato,Richard Partlow,Maurissa Tancharoen,Stacy Shirk,Steve Berg,David Fury,Marti Noxon,Michael Boretz,Lance W. Lanfear,Michael G. Canaan,Jonathan Reilly",English,United States
It's Okay to Not Be Okay,TV Series,"1,h, ,20,m","Comedy,Drama,Romance",An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,8.7,16,1 Season,"August 16, 2020 (France)","Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,Park Jin-Joo,Kim Joo-Heon,Kang Ki-Doong,Jang Young-Nam,Jang Gyu-ri,Kim Chang-wan,Lee Eol,Jeong Jaekwang,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun,Joon Seo",Korean,South Korea
"Love, Death & Robots",TV Series,"15,m","Animation,Short,Action","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",8.5,26,,"March 15, 2019 (France)","Scott Whyte,Nolan North,Steven Pacey,Emily O'Brien,Fred Tatasciore,Matthew Yang King,Michelle C. Bonilla,Chris Cox,Ike Amadi,Noshir Dalal,Piotr Michael,Mary Elizabeth Winstead,Samira Wiley,Kevin Michael Richardson,Maurice LaMarche,Josh Brener,Helen Sadler,Stefan Kapicic",English,United States
The Knick,TV Series,"58,m","Drama,History",A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,8.5,21,,"August 9, 2014 (France)","André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin","English,Latvian,Mandarin,Cantonese,Hebrew,Greek,Italian,Polish,Spanish",United States
Schitt's Creek,TV Series,"22,m",Comedy,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",8.5,80,,"June 26, 2021 (France)","Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",English,"Canada,United States"
John Adams,TV Mini Series,"1,h, ,11,m","Biography,Drama,History","The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",8.5,7,1 Season,"November 15, 2008 (France)","Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux",English,United States
Harley Quinn,TV Series,"23,m","Animation,Action,Adventure","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",8.5,27,,"October 15, 2020 (France)","Kaley Cuoco,Lake Bell,Alan Tudyk,Ron Funches,Tony Hale,Matt Oberg,Jason Alexander,Christopher Meloni,Diedrich Bader,J.B. Smoove,Jim Rash,James Adomian,Andrew Daly,Vanessa Marshall,Tisha Campbell,Phil LaMarr,Rahul Kohli,Briana Cuoco",English,United States
Black Books,TV Series,"25,m",Comedy,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many ..., ",8.5,18,,"July 1, 2002 (France)","Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Tony Bluto,Terry Bird,Jessica Hynes,Rose Keegan,Nina Conti,Mick Walter,Howard Coggins",English,United Kingdom
Mare of Easttown,TV Mini Series,"1,h","Crime,Drama,Mystery",A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,8.5,7,1 Season,"April 19, 2021 (France)","Kate Winslet,Julianne Nicholson,Jean Smart,Angourie Rice,John Douglas Thompson,Joe Tippett,Cameron Mann,Jack Mulhern,Izzy King,Justin Hurtt-Dunkley,Sosie Bacon,David Denman,Neal Huff,James McArdle,Guy Pearce,Ruby Cruz,Enid Graham,Chinasa Ogbuagu",English,United States
Bir Baskadir,TV Series,"49,m","Drama,Thriller","A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some..., ",8.5,8,1 Season,"November 12, 2020 (France)","Öykü Karayel,Fatih Artman,Funda Eryigit,Defne Kayalar,Settar Tanriögen,Tülin Özen,Bige Önal,Göktug Yildirim,Neil Vanides,Gokhan Yikilkan,Alican Yücesoy,Nesrin Cavadzade,Cemre Zisan Sagbir,Esme Madra,Derya Karadas,Aziz Çapkurt,Incinur Sevimli,Özge Özel","Turkish,Arabic,Kurdish",Turkey
L'amie prodigieuse,TV Series,"1,h",Drama,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,8.6,20,,"December 13, 2018 (France)","Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Valentina Acca,Giovanni Amura,Antonio Buonanno,Gennaro De Stefano,Francesco Serpico,Elvis Esposito,Luca Gallone,Fabrizio Cottone,Ulrike Migliaresi,Chiara Di Costanzo,Pina Di Gennaro,Sarah Falanga,Anna Cerchia","Italian,Neapolitan","Italy,United States"
Erased,TV Mini Series,"4,h, ,24,m",,,8.5,13,1 Season,"January 7, 2016 (Japan)","Tao Tsuchiya,Ben Diskin,Michelle Ruff,Shinnosuke Mitsushima,Minami Takayama,Stephanie Sheh,Sara Cravens,David W. Collins,Mitsuru Miyamoto,Christine Marie Cabanos,Aoi Yûki,Ayaka Nanase,Erica Mendez,Ryan Bartley,Akari Kitô,You Taichi,Bobby Thong,Yukitoshi Kikuchi",Japanese,Japan
The Defiant Ones,TV Mini Series,"1,h","Documentary,Biography,Crime","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain ..., ",8.5,4,1 Season,"March 23, 2018 (France)","Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Bruce Springsteen,Gwen Stefani,Trent Reznor,Sean 'Diddy' Combs,Nas,DJ Yella,Vicki Iovine,The D.O.C.,Doug Morris,Verna Griffin",English,United States
Your Lie in April,TV Series,"23,m","Animation,Drama,Music",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,8.6,23,1 Season,"April 1, 2018 (France)","Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Christina McBride,Jennifer Alyx,Ryan Raydarke,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",Japanese,Japan
